OrigFolder,Latitude,Longitude
l32_loisaba_may_october_2016,N00 39.886,E036 50.566
n10_high_namunyak_july_september_2016,N01 03.126,E037 22.471
n12_low_namunyak_july_september_2016,N01 01.118,E037 23.350
n15_high_namunyak_july_september_2016,N01 00.501,E037 23.722
n17_high_namunyak_july_september_2016,N01 04.549,E037 31.998
n19_high_namunyak_july_september_2016,unknown,unknown
n23_low_namunyak_july_september_2016,N01 00.178,E037 26.418
n27_high_namunyak_july_september_2016,N01 01.819,E037 23.884
n36_low_namunyak_july_september_2016,N00 59.006,E037 26.605
n44_low_namunyak_july_september_2016,unknown,unknown
n45_high_namunyak_july_september_2016,N01 00.178,E037 26.418
n46_high_namunyak_july_september_2016,N01 03.231,E037 25.313
n4_high_namunyak_july_september_2016,N01 01.902,E037 27.924
n50_high_namunyak_july_september_2016,N01 07.168,E037 33.343
n52_low_namunyak_july_september_2016,N01 04 529,E037 33.438
n5_high_namunyak_july_september_2016,N01 01.918,E037 33.381
n6_low_namunyak_july_september_2016,N01 00.389,E037 25.139
n7_high_namunyak_july_september,N01 00.501,E037 23.722
s1_low_namunyak_july_september_2016,N01 03.330,E037 23.948
s6_low_namunyak_july_september_2016,N01 01.762,E037 25.288
s7_low_namunyak_july_september_2016,N00 59.006,E037 26.605
L10_February-May_2016,N00 37.451,E036 49.601
L1_February-May_2016,N00 32.892,E036 51.151
L2_May-October_2016,N00 37.609,E036 47.427
L3_February-May_2016,N00 35.987,E036 49.553
L4_February-May_2016,N00 34.682,E036 46.657
L4_May-October_2016,N00 34.977,E036 47.571
L5_February-May_2016,N00 40.275,E036 48.102
L7_May-October_2016,N00 39.319,E036 46.597
L8_February-May_2016,N00 35.956,E036 51.038
L3_May-October_2016,N00 37.950,E036 49.316
L12_February-May_2016,N00 34.619,E036 47.858
L2_February-May_2016,N00 36.151,E036 44.913
L01_May-October_2016,N00 38.598,E036 45.935
L11_February-May_2016,N00 35.989,E036 48.023
L9_May-October_2016,N00 39.468,E036 48.106
L19_February-May_2016,N00 37.425,E036 50.991
L20_February-May_2016,N00 38.881,E036 46.585
L21_February-May_2016,N00 36.091,E036 45.434
L22_February-May_2016,N00 38.667,E036 47.821
L23_February-May_2016,N00 37.362,E036 44.897
L24_February-May_2016,N00 40.646,E036 46.519
L26_May-October_2016,N00 37.950,E036 49.316
L28_February-May_2016,N00 32.575,E036 48.542
L28_May-October_2016,N00 39.485,E036 50.391
L29_February-May_2016,N00 35.101,E036 49.589
L41_May-October_2016,N00 36.002,E036 48.455
L48_May-October_2016,N00 36.921,E036 50.089
S2_Low_February-May_2016,unknown,unknown
L14_February-May_2016,N00 37.363,E036 47.951
L15_February-May_2016,N00 38.944,E036 49.461
L16_February-May_2016,N00 37.395,E036 46.498
L22_March-April_2017,N00 38.494,E036 49.278
s2_low_namunyak_july_september_2016,N01 01.819,E037 23.884
L13_May_To_Oct_2016,N00 34.483,E036 47.353
N12 LOW,N01 01.118,E037 23.350
N34_May-Oct_2016,N01 03.184,E037 33.422
N24_May-Oct_2016,N01 03.231,E037 25.313
N32_LOW_May-Oct_2016,N01 01.902,E037 27.924
N9_LOW_May-Oct_2016,N01 01.808,E037 25.006
S8_High_May-Oct_2016,N01 04 529,E037 33.438
